new_id;root_bogdan;root_form;mpnl;norm;par_index;extent;Reference
2414;665;пьр;за.(пьр).а.т.и;запьрати;3°*;;761
2415;664;пя;за.(пя).т.и;запяти;4h;;687
2416;664;пя;за.(пя).т.ьЁ.е;запятиЕ;2/n;;687
2417;754;раз;за.(раз).и.т.и;заразити;1;;662
2418;766;рек;за.(рек).т.и;зарещи;4c@;;661, 673
2419;766;рок;за.(рок).ъ;зарокъ;2/m;;661, 673
2420;831;скоп;за.(скоп).ьЁ.е;заскопиЕ;2/n;;
2421;885;стйпЛ;за.(стйпЛ).ен.ьЁ.е;застйпЛЕниЕ;2/n;;834
2422;885;стйп;за.(стйп).а.н.ьЁ.е;застйпаниЕ;2/n;;834
2423;885;стйп;за.(стйп).а.т.и;застйпати;7;;834
2424;885;стйп;за.(стйп).и.т.и;застйпити;1;;834
2425;885;стйп;за.(стйп).ъ;застйпъ;2/m;;834
2426;885;стйп;за.(стйп).ьн.ик.ъ;застйпьникъ;2/m;;834
2427;879;сто;за.(стоё).э.т.и;застоАти;2;;657
2428;140;вэд;за.съ.(вэд).э.т.еЛ.ьств.ов.а.т.и;засъвэдэтеЛьствовати;6;;
2429;798;сэд;за.(сэд).ьн.ик.ъ;засэдьникъ;2/m;;832
2430;89;тваР;за.((тваР)).а.т.и;затваРАти;7;;62, 745
2431;89;твоР;за.((твоР)).ен.ьЁ.е;затвоРЕниЕ;2/n;;62, 745
2432;89;твор;за.((твор)).и.т.и;затворити;1;;62, 745
2433;89;твор;за.((твор)).ъ;затворъ;2/m;;62, 745
2434;992;тък;за.(тък).н.й.т.и;затъкнйти;5;;660
2435;992;тык;за.(тык).а.т.и;затыкати;7;;660
2437;1019;утр;за.(утр).ьН.ь;заутрьНь;2/a;;655
2438;1020;уш;за.(уш).а.н.ьЁ.е;заушаниЕ;2/n;;
2441;1020;уш;за.(уш).ен.ьЁ.е;заушениЕ;2/n;;
2442;1020;уш;за.(уш).и.т.и;заушити;1;;
2443;1021;ход;за.(ход).и.т.и;заходити;1;;657
2444;1021;ход;за.(ход).ъ;заходъ;2/m;;657
2445;1053;цэд;за.(цэд).и.т.и;зацэдити;1;;
2446;1074;чин;за.(чин).а.т.и;зачинати;7;;688
2447;1074;чя;за.(чя).л.о;зачяло;2/n;;688
2448;1074;чя;за.(чя).т.и;зачяти;4h;;688
2449;1074;чя;за.(чя).т.ьЁ.е;зачятиЕ;2/n;;688
2451;1110;щит;за.(щит).и.т.еЛ.ь;защититеЛь;2/m*;;
2452;1110;щит;за.(щит).и.т.и;защитити;1;;
2453;1110;щит;за.(щит).ьн.ик.ъ;защитьникъ;2/m;;
2456;1110;щищ;за.(щищ).ен.ьЁ.е;защищениЕ;2/n;;
2457;310;звон;(звон).ъ;звонъ;2/m;;684
2458;311;звэр;(звэр).ин.ъ;звэринъ;2/a;;
2459;311;звэр;(звэр).ин.ьн.ъ;звэриньнъ;2/a;;
2460;311;звэр;(звэр).ин.ьск.ъ;звэриньскъ;2/a;;
2465;311;звэр;(звэр).ь;звэрь;1/m;;
2466;311;звэр;(звэр).ьн.ъ;звэрьнъ;2/a;;
2468;310;звя;(звя).г.т.и;звящи;4c;;684
2469;312;зел;(зел).ен.ъ;зеленъ;2/a;;774
2470;312;зел;(зел).ьЁ.е;зелиЕ;2/n;;774
2471;313;земЛ;(земЛ).а;земЛА;2/f;;
2472;313;земЛ;(земЛ).ьск.ъ;земЛьскъ;2/a;;
2475;313;зем;(зем).ьн.ъ;земьнъ;2/a;;
2476;313;зем;(зем).ьск.ъ;земьскъ;2/a;;
2477;314;зиj;(зиЁ).а.т.и;зиАти;3*;;735
2478;315;зиЖ;(зиЖ).и.т.еЛ.ь;зиЖитеЛь;2/m*;;659
2479;316;зим;(зим).а;зима;2/f;;
2480;316;зим;(зим).ьн.ъ;зимьнъ;2/a;;
2481;314;зи;(зи).н.й.т.и;зинйти;5;;735
2482;327;зйб;(зйб).ъ;зйбъ;2/m;;694
2483;327;зйб;(зйб).ьн.ъ;зйбьнъ;2/a;;694
2484;312;зла;(зла).к.ъ;злакъ;2/m;;774
2485;312;зла;(зла).т.ик.ъ;златикъ;2/m;;774
2486;312;зла;(зла).т.иц.а;златица;2/f;;774
2487;312;зла;(зла).т.о;злато;2/n;;774
2492;312;зла;(зла).т.ъ;златъ;2/a;;774
2493;312;зла;(зла).т.ьн.ъ;златьнъ;2/a;;774
2494;317;злъч;(злъч).ь;злъчь;1/f;;
2495;318;зм;(зм).ьЁ.а;змиА;2/f;;825
2496;318;зм;(зм).ьЁ.ев.ъ;змиЕвъ;2/a;;825
2497;318;зм;(зм).ьЁ.ь;змии;2/m;;825
2498;318;зм;(зм).ьЁ.ин.ъ;змиинъ;2/a;;825
2553;324;зъл;(зъл).ъ;зълъ;2/a;;
2554;324;зъл;(зъл).ь;зъль;1/f;;
2555;325;зыб;(зыб).а.н.ьЁ.е;зыбаниЕ;2/n;;
2556;325;зыб;(зыб).а.т.и;зыбати;3;;
2557;315;зьд;(зьд).а.н.ьЁ.е;зьданиЕ;2/n;;659
2558;315;зьд;(зьд).а.т.еЛ.ь;зьдатеЛь;2/m*;;659
2559;315;зьд;(зьд).а.т.и;зьдати;3*;;659
2560;315;зьд;(зьд).ъ;зьдъ;2/m;;659
2561;322;зьр;(зьр).э.л.ъ;зьрэлъ;2/a;;62, 754
2562;309;зьр;(зьр).э.н.ьЁ.е;зьрэниЕ;2/n;;62, 753
2563;309;зьр;(зьр).э.т.и;зьрэти;2;;62, 753
2565;326;зэн;(зэн).иц.а;зэница;2/f;;
2567;327;зяб;(зяб).т.и;зяти;4c;;694
2568;328;зят;(зят).ь;зять;1/m;;
2572;279;жег;из.(жег).т.и;иЖещи;4c@;;668
2573;286;жи;из.(жи).т.и;иЖити;4h;;707
2576;331;иг;(иг).о;иго;2/n;;655
2577;332;игр;(игр).а.т.и;играти;7;;655
2578;332;игр;(игр).ь;игрь;1/f;;655
2579;330;иг;(иг).ъл.ин.ъ;игълинъ;2/a;;655
2585;343;Ё;(Ё).ь;*и;2/p;;790
2587;36;бЛьв;из.(бЛьв).а.т.и;избЛьвати;3h%*;;702
2588;16;бавЛ;из.(бавЛ).а.т.и;избавЛАти;7;;808
2589;16;бавЛ;из.(бавЛ).ен.ьЁ.е;избавЛЕниЕ;2/n;;808
2590;16;бав;из.(бав).и.т.еЛ.ь;избавитеЛь;2/m*;;808
2591;16;бав;из.(бав).и.т.и;избавити;1;;808
