id;root_number;root_form;mphl;norm;par_index;class;extent;reference;;
6093;1048;хыт;(хыт).р.ъ;хытръ;2/a;a;;;;
6092;1048;хыт;(хыт).р.ост.ьн.ъ;хытростьнъ;2/a;a;;;;
6091;1048;хыт;(хыт).р.ост.ь;хытрость;1/f;n;;;;
6090;1047;хыз;(хыз).ъ;хызъ;2/m;n;;;;
6089;1047;хыз;(хыз).ин.а;хызина;2/f;n;;;;
6082;1046;хул҄;(хул҄).ен.ьj.е;хул҄ѥниѥ;2/n;n;;;;
6088;1046;хул;(хул).ьн.ъ;хульнъ;2/a;a;;;;
6087;1046;хул;(хул).ьн.ик.ъ;хульникъ;2/m;n;;;;
6086;1046;хул;(хул).и.т.и;хулити;1;v;;;;
6085;1046;хул;(хул).а;хула;2/f;n;;;;
6084;1045;худ;(худ).ъ;худъ;2/a;a;;;;
6083;1045;худ;(худ).ост.ь;худость;1/f;n;;;;
6081;1044;хрьбьт;((хрьбьт)).ъ;хрьбьтъ;2/m;n;;;;
6080;1043;хръзан;((хръзан)).ъ;хръзанъ;2/m;n;;;;
6079;1042;хром;(хром).ьц.ь;хромьць;2/m;n;;664;;
6078;1042;хром;(хром).ъ;хромъ;2/a;a;;664;;
6077;1041;хран;(хран).ьн.ъ;храньнъ;2/a;a;;;;
6076;1041;хран;(хран).и.т.и;хранити;1;v;;;;
6075;1041;хран;(хран).и.т.ел҄.ь;хранител҄ь;2/m*;n;;;;
6074;1041;хран;(хран).и.л.о;хранило;2/n;n;;;;
6073;1041;хран;(хран).и.л.ищ.е;хранилище;2/n;n;;;;
6072;1040;храм;(храм).ъ;храмъ;2/m;n;;;;
6071;1040;храм;(храм).ин.а;храмина;2/f;n;;;;
6070;1039;храбър;((храбър)).ьск.ъ;храбърьскъ;2/a;a;;;;
6069;1039;храбър;((храбър)).ъ;храбъръ;2/a;a;;;;
6068;1038;хот;(хот).ѣ.т.и;хотѣти;0;v;;664;;
6067;1038;хот;(хот).ѣ.н.ьj.е;хотѣниѥ;2/n;n;;664;;
6066;1038;хот;(хот).ь;хоть;1/f;n;;664;;
6373;1037;хорѫг;((хорѫг)).ы;хорѫгы;0/f;n;;;;
6060;1021;хожд;(хожд).ен.ьj.е;хождениѥ;2/n;n;;657;;
6065;1021;ход;(ход).ъ;ходъ;2/m;n;;657;;
6064;1021;ход;(ход).и.т.и;ходити;1;v;;657;;
6063;1021;ход;(ход).ат.аj.и.т.и;ходатаити;1;v;;657;;
6062;1021;ход;(ход).ат.аj.ьств.о;ходатаиство;2/n;n;;657;;
6061;1021;ход;(ход).ат.аj.ь;ходатаи;2/m;n;;657;;
5807;1036;хлѫп;(хлѫп).а.т.и;хлѫпати;7;v;;;;
5813;1034;хлѧб;(хлѧб).ь;хлѧбь;1/f;n;;;;
5812;1033;хлѣв;(хлѣв).ъ;хлѣвъ;2/m;n;;;;
5811;1033;хлѣв;(хлѣв).ин.а;хлѣвина;2/f;n;;;;
5810;1032;хлѣб;(хлѣб).ьн.ъ;хлѣбьнъ;2/a;a;;;;
5809;1032;хлѣб;(хлѣб).ъ;хлѣбъ;2/m;n;;;;
5808;1031;хлъм;(хлъм).ъ;хлъмъ;2/m;n;;;;
5806;1029;хлап;(хлап).ъ;хлапъ;2/m;n;;;;
5805;1028;хлад;(хлад).ьн.ъ;хладьнъ;2/a;a;;;;
5804;1028;хлад;(хлад).ъ;хладъ;2/m;n;;;;
6382;1027;хитон;((хитон)).ъ;хитонъ;2/m;n;;;;
6384;1026;херовим;((херовим)).ьск.ъ;херовимьскъ;2/a;a;;;;
6383;1026;херовим;((херовим)).ъ;херовимъ;2/m;n;;;;
5800;1025;хват;(хват).а.т.и;хватати;7;v;;;;
5796;1024;хвал҄;(хвал҄).ен.ьj.е;хвал҄ѥниѥ;2/n;n;;;;
5799;1024;хвал;(хвал).ьн.ъ;хвальнъ;2/a;a;;;;
5798;1024;хвал;(хвал).и.т.и;хвалити;1;v;;;;
5797;1024;хвал;(хвал).а;хвала;2/f;n;;;;
5795;1023;хап;(хап).а.т.и;хапати;3;v;;837;;
6059;1022;халѫг;((халѫг)).а;халѫга;2/f;n;;;;
6058;1021;хажд;(хажд).а.т.и;хаждати;7;v;;657;;
5710;334;ѧ;у.(i̯ѧ).т.и;уѩти;4h;v;;655; 691;
5709;355;jѧдр;у.(jѧдр).и.т.и;уѩдрити;1;v;;;;
5706;344;jазв;у.(jазв).и.т.и;уꙗзвити;1;v;;;;
5705;1113;ѣд;у.(i̯ѣд).ен.ьj.е;уꙗдениѥ;2/n;n;;839;;
6057;1108;щед;у.(щед).р.и.т.и;ущедрити;1;v;;838;;
6056;1101;шир;у.(шир).и.т.и;уширити;1;v;;;;
6055;1099;шид;у.(шид).ь;ушидь;1/m;n;;659;;
6054;1074;чѧ;у.(чѧ).т.и;учѧти;4h;v;;688;;
6053;1093;чѧст;у.(чѧст).ьн.ъ;учѧстьнъ;2/a;a;;;;
6052;1093;чѧст;у.(чѧст).ьj.е;учѧстиѥ;2/n;n;;;;
6051;1090;чу;у.(чу).т.и;учути;4v;v;;;;
6050;132;уч;(уч).и.т.и;учити;1;v;;814;;
6047;132;уч;(уч).и.т.ел҄.ев.ъ;учител҄ѥвъ;2/a;a;;814;;
6049;132;уч;(уч).и.т.ел҄.ьн.ъ;учител҄ьнъ;2/a;a;;814;;
6048;132;уч;(уч).и.т.ел҄.ь;учител҄ь;2/m*;n;;814;;
6044;1073;чин҄;у.(чин҄).ен.ьj.е;учин҄ѥниѥ;2/n;n;;;;
6046;1073;чин;у.(чин).и.т.и;учинити;1;v;;;;
